,StationId,NUTS3
0,3102,Hlavní město Praha
1,3103,Hlavní město Praha
2,3104,Hlavní město Praha
3,3105,Hlavní město Praha
4,3106,Hlavní město Praha
5,3107,Hlavní město Praha
6,3108,Hlavní město Praha
7,3109,Hlavní město Praha
8,3110,Hlavní město Praha
9,3112,Hlavní město Praha
10,3113,Hlavní město Praha
11,3114,Hlavní město Praha
12,3115,Hlavní město Praha
13,3116,Hlavní město Praha
14,3117,Hlavní město Praha
15,3118,Hlavní město Praha
16,3119,Hlavní město Praha
17,3120,Hlavní město Praha
18,3121,Hlavní město Praha
19,3122,Hlavní město Praha
20,3123,Hlavní město Praha
21,3124,Hlavní město Praha
22,3125,Hlavní město Praha
23,3126,Hlavní město Praha
24,3127,Hlavní město Praha
25,3128,Hlavní město Praha
26,3130,Hlavní město Praha
27,3131,Hlavní město Praha
28,3132,Hlavní město Praha
29,3201,Středočeský kraj
30,3202,Středočeský kraj
31,3203,Středočeský kraj
32,3204,Středočeský kraj
33,3205,Středočeský kraj
34,3206,Středočeský kraj
35,3207,Středočeský kraj
36,3208,Středočeský kraj
37,3209,Středočeský kraj
38,3210,Středočeský kraj
39,3211,Středočeský kraj
40,3212,Středočeský kraj
41,3213,Středočeský kraj
42,3214,Středočeský kraj
43,3215,Středočeský kraj
44,3216,Středočeský kraj
45,3217,Středočeský kraj
46,3218,Středočeský kraj
47,3219,Středočeský kraj
48,3220,Středočeský kraj
49,3221,Středočeský kraj
50,3222,Středočeský kraj
51,3223,Středočeský kraj
52,3224,Středočeský kraj
53,3225,Středočeský kraj
54,3226,Středočeský kraj
55,3227,Středočeský kraj
56,3228,Středočeský kraj
57,3229,Středočeský kraj
58,3230,Středočeský kraj
59,3231,Středočeský kraj
60,3232,Středočeský kraj
61,3233,Středočeský kraj
62,3234,Středočeský kraj
63,3235,Středočeský kraj
64,3236,Středočeský kraj
65,3237,Středočeský kraj
66,3238,Středočeský kraj
67,3239,Středočeský kraj
68,3240,Středočeský kraj
69,3241,Středočeský kraj
70,3242,Středočeský kraj
71,3243,Středočeský kraj
72,3244,Středočeský kraj
73,3245,Středočeský kraj
74,3246,Středočeský kraj
75,3247,Středočeský kraj
76,3248,Středočeský kraj
77,3249,Středočeský kraj
78,3301,Jihočeský kraj
79,3302,Jihočeský kraj
80,3303,Jihočeský kraj
81,3304,Jihočeský kraj
82,3305,Jihočeský kraj
83,3306,Jihočeský kraj
84,3307,Jihočeský kraj
85,3308,Jihočeský kraj
86,3309,Jihočeský kraj
87,3310,Jihočeský kraj
88,3311,Vysočina
89,3312,Jihočeský kraj
90,3313,Jihočeský kraj
91,3314,Jihočeský kraj
92,3315,Jihočeský kraj
93,3316,Vysočina
94,3317,Jihočeský kraj
95,3318,Jihočeský kraj
96,3319,Jihočeský kraj
97,3320,Jihočeský kraj
98,3321,Jihočeský kraj
99,3322,Jihočeský kraj
100,3323,Jihočeský kraj
101,3324,Jihočeský kraj
102,3325,Jihočeský kraj
103,3326,Jihočeský kraj
104,3327,Jihočeský kraj
105,3328,Jihočeský kraj
106,3401,Plzeňský kraj
107,3402,Karlovarský kraj
108,3403,Plzeňský kraj
109,3404,Plzeňský kraj
110,3406,Plzeňský kraj
111,3407,Plzeňský kraj
112,3408,Plzeňský kraj
113,3409,Karlovarský kraj
114,3410,Karlovarský kraj
115,3411,Plzeňský kraj
116,3412,Plzeňský kraj
117,3413,Plzeňský kraj
118,3414,Plzeňský kraj
119,3415,Plzeňský kraj
120,3416,Karlovarský kraj
121,3417,Karlovarský kraj
122,3418,Plzeňský kraj
123,3419,Plzeňský kraj
124,3420,Karlovarský kraj
125,3421,Karlovarský kraj
126,3422,Plzeňský kraj
