,Kod,Popis,Typ
0,0.1.1,"Vozidlo, které podléhá registraci, není opatřeno předepsaným počtem tabulek registračních značek.",B
1,0.1.2.1,"Uchycení tabulky registrační značky je uvolněné, ale nehrozí bezprostředně její upadnutí nebo zhoršení podmínek její čitelnosti.",A
2,0.1.2.2,"Uchycení tabulky registrační značky není spolehlivé, takže tabulka registrační značky může upadnout.",B
3,0.1.2.3,Způsob uchycení tabulky registrační značky neodpovídá požadavkům nebo snižuje její čitelnost.,B
4,0.1.3.1,"Poškození některého písmenného nebo číselného znaku registrační značky, které částečně snižuje její čitelnost.",A
5,0.1.3.2,"Poškození některého písmenného nebo číselného znaku registrační značky, které snižuje její čitelnost nebo poškození, či deformace (např. ohnutí) tabulky registrační značky, které snižují její čitelnost.",B
6,0.1.3.3,Nepovolená úprava (např. zmenšení rozměrů) tabulky registrační značky.,B
7,0.1.4,Údaje uvedené na tabulce registrační značky neodpovídají údajům uvedeným v předložených dokladech od vozidla.,B
8,0.1.5.1,Neschválená úprava umístění tabulky registrační značky na vozidle vzhledem k minimální nebo maximální výšce nad vozovkou nebo umístění tabulky registrační značky vzhledem k podélné střední rovině vozidla neodpovídá požadavkům a tyto změny umístění u vozidel kategorie L nejsou zapsány v technickém průkazu vozidla.,B
9,0.1.5.2,Tabulka registrační značky není umístěná kolmo k podélné střední rovině vozidla (vychýlení do boku) nebo není její spodní hrana přibližně vodorovná s vozovkou nebo úhly naklopení tabulky registrační značky (od vozovky nebo k vozovce) překračují povolené hodnoty.,B
10,0.1.5.3,Poloha umístění registrační značky na vozidle nebo dodatečné úpravy na vozidle zapříčiňují nedostatečnou viditelnost tabulky registrační značky v některém z vymezených úhlů geometrické viditelnosti.,B
11,0.1.6,Použití neschválené tabulky registrační značky (vlastní výroba).,B
12,0.2.1.1,"Vyražené identifikační číslo / výrobní číslo vozidla nebo výměnného samostatného technického celku (výměnná nástavba, pracovní stroj nesený) chybí, nebo je nelze najít.",B
13,0.2.1.2,Identifikační číslo / výrobní číslo je neúplné nebo nečitelné nebo vyrezlé nebo jinak poškozené.,B
14,0.2.1.3,"Identifikační číslo / výrobní číslo neodpovídá údajům uvedeným v dokladech vozidla nebo v dokladech výměnného samostatného technického celku (výměnná nástavba, pracovní stroj nesený).",B
15,0.2.1.4.1,"Ve struktuře vyraženého identifikačního čísla / výrobního čísla nebo v jeho okolí, jsou patrné změny (např. přeražení jiného čísla, navaření části karoserie z jiného vozidla) svědčící o jeho pozměnění.",B
