,STK
0,3100
1,3102
2,3103
3,3104
4,3105
5,3106
6,3107
7,3108
8,3109
9,3110
10,3112
11,3113
12,3114
13,3115
14,3116
15,3117
16,3118
17,3119
18,3120
19,3121
20,3122
21,3123
22,3124
23,3125
24,3126
25,3127
26,3128
27,3130
28,3131
29,3132
30,3201
31,3202
32,3203
33,3204
34,3205
35,3206
36,3207
37,3208
38,3209
39,3210
40,3211
41,3212
42,3213
43,3214
44,3215
45,3216
46,3217
47,3218
48,3219
49,3220
50,3221
51,3222
52,3223
53,3224
54,3225
55,3226
56,3227
57,3228
58,3229
59,3230
60,3231
61,3232
62,3233
63,3234
64,3235
65,3236
66,3237
67,3238
68,3239
69,3240
70,3241
71,3242
72,3243
73,3244
74,3245
75,3246
76,3247
77,3248
78,3301
79,3302
80,3303
81,3304
82,3305
83,3306
84,3307
85,3308
86,3309
87,3310
88,3311
89,3312
90,3313
91,3314
92,3315
93,3316
94,3317
95,3318
96,3319
97,3320
98,3321
99,3322
100,3323
101,3324
102,3325
103,3326
104,3327
105,3401
106,3402
107,3403
108,3404
109,3406
110,3407
111,3408
112,3409
113,3410
114,3411
115,3412
116,3413
117,3414
118,3415
119,3416
120,3417
121,3418
122,3419
123,3420
124,3421
125,3422
126,3423
127,3424
128,3425
129,3427
130,3428
131,3429
132,3430
133,3431
134,3432
135,3433
136,3434
137,3501
138,3502
139,3503
140,3504
141,3505
142,3506
143,3507
144,3508
145,3509
146,3510
147,3511
148,3512
149,3513
150,3514
151,3515
152,3516
153,3517
154,3518
155,3519
156,3520
157,3521
158,3522
159,3523
160,3524
161,3525
162,3526
163,3527
164,3528
165,3529
166,3530
167,3531
168,3532
169,3533
170,3534
171,3535
172,3601
173,3603
174,3604
175,3605
176,3606
177,3607
178,3608
179,3609
180,3610
181,3611
182,3612
183,3613
184,3614
185,3615
186,3616
187,3617
188,3618
189,3619
190,3620
191,3621
192,3622
193,3623
194,3624
195,3625
196,3626
197,3627
198,3628
199,3629
200,3630
201,3631
202,3632
203,3633
204,3634
205,3635
206,3636
207,3637
208,3638
209,3639
210,3640
211,3641
212,3642
213,3643
214,3644
215,3645
216,3646
217,3647
218,3648
219,3649
220,3701
221,3702
222,3703
223,3706
224,3707
225,3709
226,3710
227,3711
228,3712
229,3713
230,3714
231,3715
232,3716
233,3717
234,3718
235,3719
236,3720
237,3721
238,3722
239,3723
240,3724
241,3725
242,3726
243,3727
244,3728
245,3729
246,3730
247,3731
248,3732
249,3733
250,3734
251,3735
252,3736
253,3737
254,3738
255,3739
256,3740
257,3741
258,3742
259,3743
260,3744
261,3745
262,3746
263,3747
264,3748
265,3749
266,3751
267,3752
268,3753
269,3754
270,3755
271,3756
272,3757
273,3758
274,3759
275,3760
276,3761
277,3762
278,3763
279,3764
280,3765
281,3766
282,3767
283,3768
284,3769
285,3770
286,3771
287,3772
288,3773
289,3774
290,3801
291,3802
292,3803
293,3804
294,3805
295,3806
296,3807
297,3808
298,3809
299,3810
300,3811
301,3812
302,3813
303,3814
304,3815
305,3816
306,3817
307,3818
308,3819
309,3820
310,3821
311,3822
312,3823
313,3824
314,3825
315,3826
316,3827
317,3828
318,3829
319,3830
320,3831
321,3832
322,3833
323,3834
324,3835
325,3836
326,3837
327,3838
328,3839
329,3840
330,3841
331,3842
332,3843
333,3844
334,3845
335,3846
336,3847
337,3848
338,3849
339,3850
340,3851
341,3852
342,3853
343,3854
344,3855
345,6203
346,6204
347,6250
348,6302
349,6304
350,6305
351,6309
352,6401
353,6409
354,6505
355,6511
356,6512
357,6514
358,6603
359,6604
360,6614
361,6616
362,6617
363,6701
364,6711
365,6714
366,6717
367,6721
368,6723
369,6725
370,6732
371,6738
372,6740
373,6741
374,6742
375,6743
376,6801
377,6802
378,6811
379,6813
380,6814
381,6815
